"address","totalClaim","bought","gasRefund","refundedTxs","totalClaimRaw"
"0xe64c25478f0ebd9b62f8e73cd0ed20d0ad54131f","75064.787365997523","74006.829811477606","1057.957554519917",1,"75064787365997523"
"0xd7fde832ddb98357e899ef0a27fb2631ce775026","30484.914883004026","29330.739130365143","1154.175752638883",1,"30484914883004026"
"0x8bc6b3fd67be8d0ad383b71e6f6b1fbafe0716e8","17065.07607525918","15582.653933496951","1482.422141762229",2,"17065076075259180"
"0x616b0b2d92dc4140390af3f6336445ca96ff6424","658781.540158961869","657714.835495522046","1066.704663439823",1,"658781540158961869"
"0xd2d9c47eb5a5089bbcc16540f829fcc42c4d50f0","26262.254249262394","24091.02102219471","2171.233227067684",2,"26262254249262394"
"0x150d4f19e2f26e067fbb3e3fd6f56fc6bcb9d5b6","77525.399550106411","76072.99734082631","1452.402209280101",2,"77525399550106411"
"0x0cb12233a9b7f0b7d20ea803165934fe9190631e","31409.150384650794","29264.567293411892","2144.583091238902",3,"31409150384650794"
"0x1f6e925125bc90d812afb0b17b5cb48f040c112d","163985.391992521263","157906.115835927097","6079.276156594166",3,"163985391992521263"
"0x083b751a531df05228cbbd419113f8892a39d8f5","199100.900717178716","192917.805204597452","6183.095512581264",4,"199100900717178716"
"0xeb959caad3bb6e28ba3d9312a8a7ce745767249d","134935.577988806485","132756.558741534585","2179.0192472719",2,"134935577988806485"
"0x9965ed3f7397cfa36efe78f6bf0547ae59dc673e","152870.306256781425","150158.551831088703","2711.754425692722",2,"152870306256781425"
"0x3b7e93200d37d838ea466e8ced97752a6dff994e","21356.963850535615","17031.584972003517","4325.378878532098",3,"21356963850535615"
"0x941c9b91165f3deced2d9b29cc96fc3dbb809879","1091383.386141065982","1086181.349057854646","5202.037083211336",4,"1091383386141065982"
"0x9777daabf322d38af7a49a66dc55f3086127baea","155057.81009916025","148889.256765629524","6168.553333530726",7,"155057810099160250"
"0x80a20e73bb079299215d2da5482636070ef9dfe7","42147.664747197622","40824.000930602107","1323.663816595515",1,"42147664747197622"
"0xc47bca726471967b06105873f03c9e1261321664","107805.137713063985","101931.523510480132","5873.614202583853",4,"107805137713063985"
"0x26c16d75345e10f663c10b7b5808480164ffd64d","2889.636144454871","0.000059139701","2889.63608531517",2,"2889636144454871"
"0x69d2bc658490c7ddda797d398e862ed4eed2eb80","178286.093814461021","176054.311669996899","2231.782144464122",3,"178286093814461021"
"0x38c848ab1c28f503d2a7bed108419fd60a47c292","21639.824967095972","19988.682301608074","1651.142665487898",2,"21639824967095972"
